brand,model,year,adid
Hyundai,Accent,2010,196319925
Nissan,Sunny,2020,196402074
Skoda,Kodiaq,2019,196407681
Peugeot,301,2014,196406710
BMW,X5,2019,196407739
Hyundai,Accent,2012,196407830
Kia,Cerato,2016,196406831
Isuzu,Other,2017,196404878
Nissan,Sunny,2013,196408555
Jeep,Wrangler,2017,196305921
Renault,Megane,2015,196408877
Nissan,Tiida,2013,196306213
Chery,Tiggo,2022,196409226
Fiat,Doblo,2022,196408942
Audi,Q7,2019,196409225
Mercedes-Benz,E250,2011,196409302
Toyota,Yaris,2007,196409422
Nissan,Pickup,2016,196399604
Citroen,C5,2014,196409037
Opel,Astra,2020,196409327
Chevrolet,Spark,2008,196389652
BMW,318,2017,196398672
Skoda,Octavia,2009,196397750
Volkswagen,Passat,2021,196398749
Hyundai,Tucson,2020,196279152
Renault,Duster,2018,196392720
Hyundai,Elantra,2021,196396705
BMW,X3,2012,196399046
Toyota,Corolla,2022,196345971
MG,RX5,2019,196344207
Fiat,Tipo,2018,196399590
Fiat,500X,2019,196399796
Mazda,3,2016,196400083
Infiniti,QX,2014,196399931
Jac,S3,2019,196398588
BMW,335,2013,196390460
Citroen,C-Elysée,2020,196400292
BMW,318,2018,196401156
Opel,Crossland,2022,196401853
BMW,X3,2013,196262215
Chrysler,Town and Country,2012,196402889
Land Rover,Range Rover Sport,2021,196234989
MINI,Cooper Roadster,2012,196397382
Changan,Benni mini,2016,196402317
Toyota,Prado,2017,196395958
Kia,Sorento,2021,196394137
Volkswagen,Jetta,2007,196347385
Hyundai,Santa Fe,2013,196394055
Subaru,XV,2016,196402970
Nissan,Sunny,2019,196394136
Land Rover,Range Rover,2017,196390844
Audi,Q8,2023,196391201
Hyundai,Verna,2005,196389966
Chevrolet,Optra,2023,196391184
Chevrolet,Pickup/Dababa,2019,196391178
Jac,S7,2022,196014681
Renault,Logan,2016,196390785
Suzuki,Maruti,2014,196384343
Ford,Fiesta,2014,196390855
MG,6,2022,196390976
Mercedes-Benz,B200,2013,195893930
Audi,Q3,2023,196391403
Mercedes-Benz,E200,2021,196392317
Mazda,3,2013,196287342
Citroen,DS5,2014,196342523
Fiat,Shahin,2001,196392087
Mercedes-Benz,C180,2000,196288468
Toyota,Corolla,2022,196392470
Opel,Insignia,2018,196395499
BYD,F3,2022,196396006
Daihatsu,Grand Terios,2009,195868243
Toyota,Land Cruiser,2019,196395650
Lada,Granta,2021,196396704
Kia,Carens,2011,196397470
Nissan,Qashqai,2021,196292568
Nissan,Qashqai,2018,196380796
Chevrolet,Other,2012,196396305
BMW,X1,2018,196389593
Peugeot,3008,2020,196385757
Chevrolet,Spark,2012,196387745
Honda,Civic,2005,196328742
Mercedes-Benz,CLA 200,2020,196387629
Hyundai,Tucson,2020,196286360
Citroen,Xsara,2002,196381715
BMW,X1,2020,196277778
Seat,Leon,2015,196382420
Suzuki,S-Presso,2021,196382198
Chevrolet,Cruze,2016,196382566
Speranza,A620,2007,196382659
Peugeot,3008,2021,196218633
Toyota,Yaris,2015,196383290
Chevrolet,Optra,2021,196383162
Toyota,Echo,2000,196383069
Audi,A3,2022,196383391
Nissan,Armada,2006,196383216
MG,ZS,2021,196279234
Mercedes-Benz,E63,2022,196281131
BMW,320,2016,196383755
Hyundai,Avante,2005,196385015
BMW,320,2013,196384339
MG,ZS,2019,196385084
Toyota,Yaris,2008,196386921
Mitsubishi,Pajero,2003,196388510
Nissan,Sunny,2011,196386414
MG,RX5,2019,196387351
Mitsubishi,Lancer,2009,196387515
Mazda,3,2017,195029650
Kia,Soul,2015,196381497
Peugeot,301,2021,196374822
BMW,525,2009,196389514
Hyundai,Grand I10,2017,196375106
Opel,Vectra,2008,196370733
MG,MG 5,2021,196375134
Geely,Other,2005,194941789
Kia,Picanto,2013,195974280
Seat,Ibiza,2020,196377019
Kia,Cerato,2010,196367659
Hyundai,Elantra,2017,196377257
Volkswagen,Tiguan,2017,196377956
Chery,Arrizo 5,2022,196378236
Kia,Sportage,2021,196276593
Mercedes-Benz,E200,2022,196274705
Hyundai,Elantra,2023,196366547
Chevrolet,Other,2000,196371587
Hyundai,Verna,2012,196378262
Infiniti,Other,2017,196377484
BMW,316,2010,196378950
Speranza,A516,2008,196363179
Opel,Astra,2019,195114875
Mercedes-Benz,E300,2021,196378584
Fiat,Punto,2011,196269430
Mercedes-Benz,GLC 300,2019,196367713
Fiat,Tipo,2021,196241902
Land Rover,Range Rover Sport,2021,196368370
Fiat,Tipo,2021,196368051
Ford,Fusion,2015,196021483
Mercedes-Benz,GLC 300,2019,196342104
Kia,Rio,2013,196368703
Subaru,Impreza,2009,196368658
Skoda,Octavia,2010,196368882
Suzuki,Pick up,2015,196369272
Nissan,Sunny,2022,196368737
Skoda,Rapid,2018,196369497
BMW,640,2016,196369849
Nissan,Sunny,2018,196369730
Renault,Logan,2010,196355394
Hyundai,IX35,2016,196372184
MINI,Cooper,2017,196370008
Kia,Sportage,2021,196267939
MG,RX5,2021,196371449
Chery,Tiggo,2022,196372475
Chevrolet,Spark,2020,196372732
BMW,X5,2017,196269569
BMW,X3,2019,196269645
Jeep,Cherokee,2009,196269463
Mercedes-Benz,GLC 250,2023,196361754
Land Rover,Defender,2023,196361436
Volkswagen,Golf,2011,196372660
BMW,Other,2023,196361549
BYD,F3,2018,196360957
BMW,528,2011,196362138
Mitsubishi,Lancer,2016,196360591
Renault,Clio,2001,196360831
Mercedes-Benz,G-Class,2023,196361630
BYD,F3,2020,196360952
Mercedes-Benz,GLA 200,2022,196361390
Chevrolet,Captiva,2010,196357721
MG,6,2021,196343661
BYD,F3,2021,196359849
Peugeot,3008,2019,196257198
Mercedes-Benz,E350,2006,196361643
Honda,City,2009,196361560
Mercedes-Benz,C200,2022,196233872
Honda,Civic,2019,196361352
Mercedes-Benz,C200,2022,196362419
Audi,A5,2019,196362348
Kia,Sportage,2014,196362359
BMW,523,2010,196362051
Ssang Yong,Tivoli,2020,183727322
Audi,A4,2011,196362725
Mercedes-Benz,GLC 300,2021,195982691
Hyundai,Elantra,2021,196259036
Peugeot,508,2014,196362980
Suzuki,Van,2012,196292049
Mercedes-Benz,E200,2005,196362844
Mercedes-Benz,C250,2010,196362818
Geely,Emgrand 7,2014,196362131
Skoda,Octavia,2004,196363485
Mercedes-Benz,E180,2019,196364834
Nissan,Sunny,2022,196363197
Mercedes-Benz,A150,2005,196363595
Subaru,Impreza,2016,196364957
Opel,Astra,2008,196364586
Kia,Rio,2015,196359605
Hyundai,Elantra,2019,196358267
Mercedes-Benz,S350,2010,193369821
Chevrolet,Pickup/Dababa,2019,196354482
Peugeot,508,2019,196352671
Chevrolet,Optra,2022,196354418
Kia,Cerato,2012,196343568
Chevrolet,Optra,2016,196354972
Peugeot,2008,2016,196355874
BMW,X3,2015,196354958
MG,6,2020,196356720
Audi,A3,2020,196348727
Land Rover,Range Rover Sport,2012,196345209
Opel,Astra,2019,196253864
Chery,Envy,2018,196356780
MG,6,2021,196254191
Lada,2107,2007,196303788
Toyota,Corolla,2019,196358377
Mercedes-Benz,C180,2020,196342427
Nissan,Qashqai,2021,196358524
Chevrolet,Captiva,2020,196358723
Toyota,Corolla,2020,196358939
Mercedes-Benz,S500,2019,196274784
Hyundai,IX35,2016,196359212
BYD,F3,2011,196359077
Opel,Grandland,2022,196359581
Hyundai,Tucson,2019,196359892
Toyota,Corolla,2019,196359778
BMW,116,2010,196359644
Mercedes-Benz,C180,2009,196351787
Alfa Romeo,Giulia,2021,196344565
Mercedes-Benz,A200,2018,196326796
Nissan,Sunny,2019,196349979
Toyota,Rumion,2022,196359997
King Long,Van,2022,196352108
Volkswagen,Passat,2012,196358866
Citroen,DS7,2021,196348270
Toyota,Fortuner,2023,196334182
Toyota,Corolla,2019,196359026
Mazda,6,2015,196243006
BMW,316,2015,196309438
Toyota,Auris,2014,196346710
Nissan,Sunny,2007,196343051
Fiat,Tipo,2020,196345308
BYD,F3,2021,196346938
Fiat,Palio,2008,196344189
Hyundai,Elantra,2008,196347680
Opel,Astra,2021,196141540
Suzuki,Van,2016,196347547
Opel,Astra,2021,196294480
Haval,H6,2022,196347743
Ford,Focus,2012,196346991
Chevrolet,Optra,2018,196347806
Hyundai,Coupe,2005,196344995
Changan,Benni mini,2016,196348603
Opel,Astra,2014,196347585
BMW,316,2006,196347677
Kia,Xceed,2017,196348669
BMW,Z4,2022,196348638
Jeep,Renegade,2016,196348500
BMW,318,2016,196349061
Seat,Arona,2021,196197308
Ford,Fiesta,2014,196335242
Hyundai,IX35,2016,196307899
MG,HS,2021,196349599
Chrysler,Sebring,2004,196344356
Land Rover,Range Rover Sport,2007,196349574
Audi,A3,2022,196349799
Chery,Arrizo 5,2022,196350371
Mercedes-Benz,S450,2022,194426965
Peugeot,2008,2022,195392634
Hyundai,Verna,2014,196339291
Mitsubishi,Lancer,2015,196339263
Daewoo,Juliet,2005,196339133
BMW,X3,2019,196339105
Hyundai,Verna,2013,196339266
Hyundai,Elantra,2021,196335443
Changhe,Super Panda,2013,195980639
Mercedes-Benz,A180,2021,196339647
Peugeot,5008,2011,196339930
Lada,Granta,2022,196338123
Peugeot,3008,2021,196340720
Mercedes-Benz,E180,2019,196340142
Opel,Crossland,2021,196339999
Daewoo,Lanos,2007,196339438
Nissan,Sunny,2022,196319718
Chery,Tiggo,2022,196341636
Opel,Mokka,2023,196341229
Volkswagen,Jetta,2007,196236772
Mitsubishi,Lancer,2016,196341391
Jaguar,F-type,2020,196342357
Land Rover,Velar,2023,196341174
Mazda,3,2017,196342109
MG,ZS,2021,196228945
Jeep,Wrangler,2011,196327675
Hyundai,Matrix,2007,196328865
BMW,X1,2017,196341325
Speranza,A516,2007,196327990
Mitsubishi,Lancer,2016,196325997
BMW,X1,2013,196335104
Hyundai,Matrix,2002,196328151
Geely,Pandido,2014,196329995
Nissan,Qashqai,2019,196278672
Nissan,Sunny,2022,196330690
Skoda,Octavia,2014,196322198
BMW,523,2011,196330065
Geely,Emgrand 7,2018,196327764
Volkswagen,Jetta,2008,196225890
Hyundai,Tucson,2021,195792163
Nissan,Juke,2013,196331238
BMW,850,2020,196106490
Ford,Expedition,2001,196331443
Mercedes-Benz,C300,2020,196330685
GMC,Sierra,2021,196331576
Audi,A5,2022,196330892
Kia,Carens,2011,196332184
Nissan,Sunny,2022,196332961
Mercedes-Benz,GLA 200,2019,196320931
Subaru,Impreza,2016,196229620
Mercedes-Benz,C180,2020,196334156
Volvo,XC60,2022,196332847
BMW,316,2015,196334197
Suzuki,Jimny,2000,196335447
Subaru,Impreza,2013,196335779
Kia,Rio,2001,196334847
Hyundai,Tucson,2022,196320473
Mitsubishi,Lancer,2015,196328238
BMW,X3,2008,196326717
Seat,Ateca,2022,196327920
Suzuki,Van,2012,196323226
Kia,Sportage,2020,196323787
Speranza,Tiggo,2010,196323836
Kia,Cerato,2014,196316379
Opel,Insignia,2016,196324360
Mercedes-Benz,E240,2004,196323782
Toyota,Corolla,2016,196245085
Daihatsu,Charade,2005,195801141
Chevrolet,Optra,2008,196323423
Porsche,Macan,2022,196325176
Mercedes-Benz,C180,2022,196332239
Hyundai,Tucson,2019,196324995
Changan,V7,2017,196313320
Volkswagen,Tiguan,2020,196325640
BMW,218,2016,196325977
Land Rover,Range Rover Sport,2021,196325527
BMW,X6,2021,196326009
Kia,Cerato,2009,196326029
BMW,Z4,2020,196326110
Kia,Pegas,2020,195878135
Suzuki,Pick up,2015,193484389
BMW,330,2022,196326335
BMW,316,2010,196325029
Skoda,Kodiaq,2021,196326439
Audi,Q2,2020,196326511
Jeep,Grand Cherokee,2022,196326648
Hyundai,Accent,2015,196326634
Mercedes-Benz,E250,2012,196327277
Peugeot,207,2011,196326899
BMW,118,2020,196327416
Chevrolet,Pickup/Dababa,2006,196327105
Volkswagen,Golf,2012,196327137
Mercedes-Benz,E180,2019,196327645
Isuzu,Other,2003,196313665
Lada,Granta,2015,196327847
Peugeot,508,2018,196315150
Volkswagen,Passat,2017,196317906
Kia,Cerato,2017,196313563
Mitsubishi,Lancer,2014,196313826
MG,6,2022,196313745
Volkswagen,Passat,2010,196314596
Renault,Duster,2017,196313984
Opel,Astra,2016,196315356
Audi,A6,2020,196317739
Mercedes-Benz,C180,2010,196316364
Toyota,Corolla,2020,196300352
Honda,Civic,2008,196315872
Brilliance,X30,2016,196317054
MG,6,2020,196318761
Ford,Kuga,2018,196319098
Peugeot,508,2014,195867404
Seat,Ibiza,2020,196317294
Kia,Cerato,2015,196235510
Chevrolet,Optra,2020,194114969
Porsche,Other,2022,196319829
Opel,Astra,2015,196311813
Kia,Rio,2015,196251838
Mitsubishi,Lancer,2014,196320132
Audi,A5,2022,196217322
Kia,Cerato,2010,196320171
Ford,Kuga,2018,196320861
Renault,Duster,2015,196312164
Volkswagen,Tiguan,2009,196320346
Kia,Sportage,2015,196309314
Nissan,Juke,2017,196321118
Peugeot,3008,2015,196320021
Skoda,Octavia,2015,196307573
Seat,Toledo,2016,196307354
Mercedes-Benz,E200,2021,196204501
Opel,Insignia,2018,196307696
Toyota,Yaris,2013,196299647
Opel,Insignia,2019,196204619
Citroen,DS7,2019,196204951
Hyundai,Veloster,2012,196307918
Peugeot,2008,2022,196308347
Skoda,Rapid,2015,196303905
Kia,Cerato,2013,196307389
Fiat,Tipo,2019,196308606
BYD,F3,2019,196308668
Citroen,C-Elysée,2021,195949384
Chevrolet,Spark,2008,196306417
Citroen,C4 Grand Picasso,2019,196296856
Hyundai,I10,2008,196309274
Skoda,Octavia,2016,196309670
Mercedes-Benz,GLA 200,2018,196309557
Chevrolet,Aveo,2007,196309123
Porsche,Macan,2015,196207250
MINI,Cooper,2018,196308758
Renault,Logan,2013,196310204
Mercedes-Benz,S500,2021,196308978
MG,6,2022,196311070
Peugeot,508,2020,196310772
Chevrolet,Pickup/Dababa,2011,196311656
Peugeot,3008,2020,196311750
BMW,X4,2016,196050344
Nissan,Sunny,2008,196311206
Opel,Astra,2013,196281098
Land Rover,Range Rover Sport SVR,2017,196297270
Nissan,Sunny,2016,196306093
Hyundai,Accent,2010,196297657
Kia,Shuma,2000,196306272
Kia,Cerato,2015,196296908
Daewoo,Lanos,2007,196298107
Mitsubishi,Lancer,2018,196298806
Hyundai,Elantra,2015,196295525
Hyundai,Verna,2013,196298891
Jac,S7,2019,196299162
MG,ZS,2022,196298961
BMW,318,2016,195477073
Toyota,Corolla,2022,196299625
MG,MG 5,2022,196077910
Mercedes-Benz,C180,2019,195713649
Mercedes-Benz,A200,2022,196152351
Kia,Cerato Coupe,2011,196300339
Jeep,Renegade,2016,196299904
Fiat,Tipo,2020,196299158
Jeep,Cherokee,2014,196299771
Renault,Logan,2016,196303900
BMW,X6,2019,196304177
BMW,X1,2021,196306113
Nissan,Sunny,2016,196306124
BMW,X3,2013,196305164
Toyota,Corolla,2016,196306011
Hyundai,Verna,2019,196293058
Jeep,Grand Cherokee,2017,196304972
Toyota,Corolla,2010,192984439
Renault,Logan,2019,196286439
BMW,X7,2021,196291739
Mercedes-Benz,S500,2002,196289444
Nissan,Sunny,2019,196290645
Nissan,Sunny,2020,196289633
Fiat,Bravo,2011,196289442
Seat,Arona,2022,196289771
Chery,Tiggo,2022,196288694
Skoda,Octavia,2019,196159028
Fiat,Tipo,2019,196291168
Peugeot,406,2003,196290679
Daihatsu,Grand Terios,2016,196291236
Chevrolet,Optra,2022,196292469
BMW,218,2017,196147021
BYD,F3,2018,196291847
Mitsubishi,Lancer,2016,196292839
BYD,F3,2014,196292832
Jeep,Wrangler,2015,196293151
Suzuki,Ciaz,2015,196293238
Hyundai,Accent,2015,196293148
Volkswagen,Caddy,2008,196191051
Faw,Pickup,2016,196293385
MG,MG 5,2021,196261882
Fiat,Tipo,2021,196191230
BYD,F3,2017,196165385
Ford,Focus,2016,196284957
Renault,Megane,2005,196293571
Kia,Ceed,2016,196185462
Chery,Tiggo,2022,196185064
Opel,Corsa,2003,196281682
Fiat,Tipo,2020,196278046
Opel,Crossland,2022,196185800
Nissan,Sunny,2017,196278170
Kia,Cerato,2017,196173736
Jac,J7,2022,194719715
Renault,Sandero,2016,196278637
BMW,316,2011,196278678
DFSK,Other,2010,196271138
Suzuki,Swift,2022,196275954
BMW,320,2021,196278655
Peugeot,508,2016,196281469
MG,MG 5,2021,196279479
Chery,Arrizo 5,2020,196279527
Kia,Sportage,2017,196279287
Hyundai,Elantra,2021,196280322
Suzuki,Maruti,2008,196267552
Hyundai,IX35,2014,196279056
Kia,Cerato,2022,196283462
Volvo,XC90,2020,196182130
Renault,Megane,2000,195626238
Daihatsu,Terios,2009,195949250
Opel,Meriva,2016,196287155
Ford,Focus,2018,196286308
Nissan,Bluebird,2009,196286642
Nissan,Other,2014,196286208
Volkswagen,Jetta,2012,196277870
Kia,Cerato,2020,196269438
Volkswagen,Polo,2010,196192599
Mercedes-Benz,E200,2020,196269894
Ford,Focus,2011,196270367
Nissan,Tiida,2007,196269135
Jaguar,XF,2016,196167744
BMW,Z4,2020,196168034
Chery,Other,2022,196271561
MG,MG 5,2021,196272070
Mercedes-Benz,C230,2008,196271181
Kia,Carens,2011,196218592
BYD,F3,2018,196268648
Seat,Ibiza,2020,196272206
Peugeot,508,2021,196272688
Mercedes-Benz,C180,2018,196269926
Citroen,C5,2020,196272372
Opel,Astra,2021,196109704
Toyota,Land Cruiser,2007,196224775
BMW,340,2019,196273033
Peugeot,2008,2022,196263649
Brilliance,V5,2013,196262093
Hyundai,Elantra,2021,196274470
Mercedes-Benz,C200,2022,195458098
Kia,Rio,2014,196271892
Land Rover,Range Rover Sport,2022,195366374
Mitsubishi,Lancer,2017,196243733
Jeep,Liberty,2004,196275900
Kia,Soul,2015,196275348
Seat,Leon,2014,196281659
Hyundai,Getz,2009,196275513
BMW,X2,2020,196171663
Nissan,Sunny,2022,196271423
Mitsubishi,Lancer,2016,196276823
Geely,Emgrand 7,2014,196276812
Audi,A4,2018,196171963
Nissan,Sunny,2023,196172695
Peugeot,508,2018,196251118
Mercedes-Benz,E200,2019,196277820
Fiat,Siena,2003,196287317
Peugeot,3008,2015,196277835
Kia,Sportage,2019,196287389
Jaguar,Other,2022,193127431
MG,ZS,2021,196122117
Speranza,A113,2012,196287516
Fiat,Punto,2003,196291519
Mitsubishi,Lancer,2015,196287947
Nissan,Qashqai,2019,196288896
Fiat,Tipo,2021,196260793
Mitsubishi,Lancer,2014,196288356
Mercedes-Benz,E180,2019,196288878
Renault,Fluence,2015,196285380
Maserati,Ghibli,2015,196289071
Nissan,Sunny,2014,196294289
BMW,316,2014,196294778
Brilliance,V5,2015,196290411
Chevrolet,N300,2021,196294449
Nissan,Sunny,2018,196294846
Mitsubishi,Lancer,2016,196294954
Volkswagen,Passat,2010,196286452
Hyundai,Tucson,2021,196217693
Mercedes-Benz,S400,2014,196170185
Lifan,Other,2013,196295649
Suzuki,Alto,2013,196295254
Chery,Tiggo,2021,196295444
Mercedes-Benz,C180,2019,196242546
Mitsubishi,Lancer,2016,196259044
Hyundai,Elantra,2021,196258943
Hyundai,Elantra,2022,195897755
BMW,X4,2017,196259469
MINI,Cooper s,2005,196259507
Seat,Ibiza,2022,196259474
Ford,Focus,2015,196259381
Chevrolet,Optra,2014,196287554
Chevrolet,Captiva,2012,196259594
Chery,Envy,2017,196155126
Mitsubishi,Lancer,2015,196260064
Nissan,Sunny,2019,196260436
BMW,520,2019,196294637
Nissan,Sunny,2020,196259840
MINI,Cooper,2019,196261453
Mercedes-Benz,C180,2022,196259415
Suzuki,Van,2015,196243442
Porsche,Cayenne,2022,196259875
Nissan,Sunny,2018,196159050
Mitsubishi,Pajero,2003,196262443
Land Rover,Velar,2020,196033956
Hyundai,IX35,2015,195979017
BYD,F3,2019,196262545
MG,6,2020,196243963
Hyundai,Elantra,2012,196262307
Suzuki,Dzire,2022,196258085
Hyundai,Elantra,2020,196258871
MG,6,2022,196254414
Opel,Insignia,2017,196263330
Chevrolet,Optra,2023,196248675
Mercedes-Benz,C180,2019,195741135
Mazda,3,2009,196254718
Peugeot,508,2021,196254799
Volkswagen,Passat,2012,196252974
Land Rover,Range Rover Sport,2021,196254589
Mercedes-Benz,C180,2020,196255152
Mitsubishi,Pajero,2015,196254803
Renault,Sandero Stepway,2015,196255172
BMW,X5,2018,196254995
Nissan,Sunny,2021,196254659
Kia,Rio,2014,196255192
BMW,523,2000,196255257
Chevrolet,Pickup/Dababa,2022,196254634
Mercedes-Benz,CLA 200,2021,196255847
Honda,Civic,2008,196150748
Mercedes-Benz,E250,2010,196254767
Suzuki,Swift,2022,196255175
Volkswagen,Passat,2011,196274326
Citroen,C4,2015,196255929
Peugeot,2008,2015,196256295
Peugeot,301,2022,194977401
Mercedes-Benz,C200,2022,196256112
Honda,City,2010,196252333
Mercedes-Benz,C180,2010,196244140
Mercedes-Benz,C180,2022,195223367
Peugeot,508,2022,195746037
Opel,Astra,2005,196244360
Chevrolet,Optra,2021,196236272
Kia,Rio,2013,196244538
MG,ZS,2019,196245826
Skoda,Octavia,2010,196246362
MG,RX5,2019,196245752
Mercedes-Benz,E300,2021,196203146
Renault,Logan,2010,196245911
Nissan,Sunny,2021,196246430
Chery,Arrizo 5,2022,196244310
Jeep,Renegade,2020,196246606
Suzuki,Van,2015,196104493
BMW,750,2011,196247128
Chevrolet,Pickup/Dababa,2015,196146595
Volvo,s60,2015,196247798
Nissan,Sunny,2019,196247698
Chery,Tiggo,2021,196240705
Volkswagen,Golf,2005,196247640
BMW,318,2018,196248128
Mercedes-Benz,B200,2015,196248851
Skoda,Octavia,2016,196242030
Renault,Fluence,2010,196248929
Hyundai,Creta,2017,196248457
Kia,Cerato,2010,196243207
Nissan,Sunny,2020,196249627
Chevrolet,Lanos,2011,196249538
Toyota,Corolla,2008,196235247
Jeep,Cherokee,2013,196235354
Toyota,Fortuner,2017,195536359
Toyota,Corolla,2020,196084719
Hyundai,Getz,2011,195794553
Opel,Astra,2008,196235729
Mitsubishi,Other,2016,196236627
Opel,Astra,2018,196236130
BMW,320,2018,196230228
Speranza,Tiggo,2017,196236446
Nissan,Sunny,2018,191547397
Chevrolet,N300,2019,196236740
Mercedes-Benz,C200,2019,196237518
Hyundai,Accent,2015,196237194
Ford,Fusion,2018,196237726
Nissan,Sentra,2017,196237405
Nissan,Qashqai,2013,196238503
MG,6,2022,196238261
Hyundai,Tucson,2019,196239286
Geely,Emgrand 7,2015,196240505
Peugeot,5008,2019,196240395
MG,MG 750,2017,196239860
MINI,Cooper Paceman,2013,196240471
Mercedes-Benz,CL-Class,2007,196242568
Mercedes-Benz,S500,2007,196242362
Mercedes-Benz,S350,2006,196242464
Jeep,Renegade,2021,196209437
Jeep,Wrangler,2016,196225248
Skoda,Octavia,2019,195880043
Citroen,Jumpy,2008,196225924
Toyota,Fortuner,2022,196218313
Nissan,Sunny,2015,196241522
BMW,525,2019,195025589
Nissan,Sunny,2004,196222927
Opel,Meriva,2016,196212188
Porsche,Macan,2022,195668232
Renault,Duster,2022,196224601
Brilliance,V5,2013,196224866
Kia,Sportage,2018,196201228
Mercedes-Benz,C180,2022,196225172
Jeep,Grand Cherokee,2005,196225294
Volkswagen,Jetta,2012,196225679
Mitsubishi,Lancer,2015,196225123
Mercedes-Benz,C300,2020,196225617
Skoda,Kodiaq,2018,196227042
Honda,City,2011,196226897
Peugeot,508,2022,196226624
BYD,F3,2019,196213392
Opel,Astra,2015,196227378
BYD,F0,2013,196221719
Ford,Focus,2017,196177799
Kia,Cerato,2017,196228644
Peugeot,3008,2021,196228596
Mercedes-Benz,C180,2022,196229744
Toyota,Corolla,2010,196193564
Nissan,Sentra,2017,196222474
Speranza,Tiggo,2011,194375744
Mitsubishi,Pajero,2021,196229853
Nissan,Sunny,2007,196191252
Volkswagen,Passat,2007,196196604
Mercedes-Benz,CLA 200,2022,196209587
Land Rover,Velar,2020,196107984
MG,MG 5,2022,196129141
Mercedes-Benz,E180,2021,196209855
MINI,Countryman S,2019,196209714
Volkswagen,Passat,2016,196227756
Hyundai,Tucson,2021,196210398
Mercedes-Benz,CLS,2017,196214366
Hyundai,Elantra,2020,196194031
Toyota,Auris,2013,196205440
Nissan,Sunny,2017,196206123
Infiniti,QX,2014,196212727
Other make,Other,2017,196212992
Renault,Megane,2006,196211782
Mazda,3,2019,195324610
Geely,Pandido,2010,196214486
Peugeot,301,2014,196215204
Renault,Megane,2020,196216443
BMW,318,2011,196210804
Nissan,Qashqai,2020,196212422
Mitsubishi,Pajero,2016,196217045
Chevrolet,Aveo,2020,196217314
Ford,Fusion,2018,179829042
BMW,535,2015,196201111
BYD,F3,2019,196198640
Ssang Yong,Tivoli,2019,196096020
Zotye,T600,2019,196199252
Kia,Rio,2013,196202220
Ford,Kuga,2019,196202564
Mazda,3,2014,196195784
Chery,Arrizo 5,2021,195767505
Chevrolet,Optra,2021,195767671
Fiat,Tipo,2020,196200714
Suzuki,Van,2013,196203983
Hyundai,Elantra,2022,195842733
Peugeot,5008,2020,195896012
BYD,F3,2018,196203595
Renault,Duster,2019,196203701
Hyundai,Elantra,2021,195978189
Ford,Focus,2007,196194482
Chevrolet,Pickup/Dababa,2015,196162177
Toyota,Camry,2008,196101298
Kia,Cerato,2017,196204876
Nissan,Sunny,2016,196204960
Nissan,Qashqai,2017,196204357
Porsche,Cayenne,2011,196206484
Peugeot,2008,2021,196104051
