brand,model,year,adid
BMW,320,2018,196104186
BMW,320,2013,196093842
Opel,Mokka,2023,196182014
Fiat,Siena,2001,196204484
Nissan,Tiida,2014,196202900
Renault,Logan,2016,196182823
Peugeot,406,2003,196025907
Jeep,Liberty,2003,196182940
Bentley,Flying Spur,2015,196158514
BMW,318,2016,196184410
Mercedes-Benz,B200,2014,196184053
Kia,Cerato,2021,196184777
Volvo,XC90,2021,196205186
Isuzu,D-Max,2018,196081412
Opel,Insignia,2018,196185150
Skoda,Kodiaq,2020,196082090
Toyota,Corolla,2021,196185842
Mitsubishi,Lancer,2007,196182896
Skoda,Octavia,2022,196082521
Opel,Grandland,2022,196158435
Chevrolet,Optra,2019,196187143
Audi,A3,2019,196083278
Hyundai,Verna,2005,196179391
Speranza,Envy,2017,196179811
Volkswagen,Golf,2017,196080048
Hyundai,Elantra,2020,195767963
Land Rover,Evoque,2023,195479675
Fiat,Grand Punto,2019,196188599
Volkswagen,Tiguan,2016,196190321
Hyundai,Accent,2021,196181944
Kia,Sportage,2023,196188897
Kia,Cerato,2010,196189358
Peugeot,308 SW,2010,195219934
Opel,Insignia,2018,195789733
Mercedes-Benz,CLS,2020,196165104
Volkswagen,Passat,2013,196087581
Hyundai,Elantra,2021,196088606
BMW,318,2016,196167884
Volkswagen,Passat,2012,196146546
Jetour,X70,2021,196168930
Mercedes-Benz,C180,2017,196086028
Peugeot,3008,2020,196188069
Hyundai,Elantra,2019,196064781
Nissan,Sentra,2017,196169096
Jeep,Renegade,2016,196170891
Chevrolet,Captiva,2021,196169796
Volkswagen,Passat,2006,195250134
Hyundai,Verna,2013,196167848
Suzuki,Maruti,2013,196171541
Opel,Astra,2013,196164931
Chery,Arrizo 5,2022,196171278
Jeep,Grand Cherokee,2015,196067681
BMW,330,2017,196067897
Jeep,Grand Cherokee,2018,196172469
Hyundai,Tucson,2020,196172335
Mitsubishi,Lancer,2003,196069096
Nissan,Juke,2012,196168158
Mitsubishi,Pajero,2015,196174183
Fiat,Shahin,2004,196173553
Geely,Emgrand 7,2018,196062010
MG,6,2021,196170290
Ford,Kuga,2018,196061837
Kia,Carens,2016,196166236
Hyundai,Accent,2021,196099813
Volkswagen,Passat,2007,196166866
BMW,X1,2018,196165595
Citroen,C5,2022,196160129
Skoda,Superb,2019,194665395
Changan,EADO,2022,196154334
Renault,Logan,2018,196048546
Renault,Megane,2020,196147305
Volkswagen,Tiguan,2020,196147877
Opel,Astra,2013,196155650
Chery,Tiggo,2017,196155702
Fiat,Doblo,2021,196155479
Mercedes-Benz,E250,2017,196144118
Jeep,Wrangler,2012,196049069
Nissan,Qashqai,2022,196156089
Land Rover,Evoque,2020,196156209
Mercedes-Benz,C200,2009,196050270
Nissan,Sunny,2021,196050202
Jaguar,F-Pace,2019,195879973
Mercedes-Benz,E200,2020,196051313
Opel,Astra,2012,196158501
MG,RX5,2019,196159833
Changan,Alsvin,2022,196159847
Hyundai,Verna,2013,196159832
BMW,318,2019,196055492
Dodge,Charger,2010,196157519
Lada,2107,2009,196149748
Jeep,Grand Cherokee,2018,196160250
BMW,418,2016,196159913
Hyundai,Elantra,2015,196136794
Chevrolet,Aveo,2008,196145075
MG,RX5,2021,196137137
Hyundai,Accent,2011,196138090
Chevrolet,Optra,2019,196127625
Nissan,Qashqai,2013,196138844
BMW,320,2015,196138664
Audi,Q5,2015,196139919
Jeep,Renegade,2017,196140402
BMW,X1,2019,196141291
Toyota,Yaris,2015,196140780
Mercedes-Benz,E200,2015,196141491
Chery,Arrizo 5,2020,196130837
BMW,X3,2008,196053039
Toyota,Corolla,2014,196036943
Nissan,Sunny,2022,195482481
Opel,Astra,2019,196143462
Mercedes-Benz,GLK 250,2014,195486884
Nissan,Qashqai,2017,196143612
BMW,X1,2023,196142967
Chevrolet,Captiva,2020,196144086
Honda,Civic,2008,180078169
BMW,318,2018,195962572
Mitsubishi,Outlander,2000,196145095
Lada,Granta,2016,196145190
Chrysler,Pacifica,2005,196113107
Opel,Meriva,2016,195896258
Jeep,Wrangler,2011,196133722
Nissan,Sunny,2017,196115457
BMW,750,2011,196115263
Toyota,Land Cruiser,2000,196115933
Opel,Insignia,2019,196145715
Opel,Insignia,2018,196117049
BMW,X3,2012,196115685
Peugeot,3008,2022,196117534
Hyundai,Sonata,2011,196118431
Volkswagen,Passat,2021,196118266
Renault,Logan,2016,195975006
BMW,750,2011,196118592
Porsche,Boxster,2006,196119477
Hyundai,Tucson,2021,194857416
Subaru,Impreza,2010,196120976
Toyota,Corolla,2019,196121689
Chevrolet,N300,2016,196121371
Mercedes-Benz,E350,2018,196117405
Renault,Megane,2021,196015302
Kia,Cerato,2017,196101580
Land Rover,Defender,2021,196016350
Skoda,Rapid,2015,196114922
BMW,320,2020,196017572
Opel,Astra,2020,196125446
Mercedes-Benz,C180,2019,196123834
Peugeot,5008,2022,196105500
BYD,F3,2011,196114058
Hyundai,H1,2001,196128969
Nissan,Qashqai,2019,196129168
Skoda,Octavia,2007,196114366
Skoda,Superb,2021,196104061
Nissan,Sunny,2016,196004186
Renault,Logan,2018,196104114
Honda,Civic,2016,196104440
Seat,Ibiza,2019,196104608
BMW,X1,2017,196122071
MG,6,2020,196104891
Volkswagen,Passat,2014,196105793
Mercedes-Benz,C180,2019,195999123
Kia,Cerato Coupe,2011,196106251
Jeep,Wrangler,2013,196085196
Seat,Ateca,2021,196122138
Chevrolet,Camaro,2016,196106723
Mercedes-Benz,G-Class,2023,196035875
Jeep,Wrangler,2011,196106858
Bentley,Continental,2015,196106576
Porsche,Cayenne,2012,196107180
Cadillac,Escalade,2018,196107457
Seat,Cordoba,2001,196077171
Renault,Logan,2020,196104994
MG,RX5,2019,196107547
BMW,X4,2017,195810763
Jeep,Grand Cherokee,2017,195633817
Citroen,C5,2015,196103421
Nissan,Sentra,2022,196102332
Mercedes-Benz,E200,2020,195947478
Rolls Royce,Ghost,2013,196107380
Land Rover,Range Rover Sport,2020,195467067
Kia,Sportage,2020,195795657
BMW,Other,2013,196107239
Chevrolet,Captiva,2020,196088166
Seat,Ibiza,2021,196086578
BMW,X5,2020,196086954
Dodge,Dart,2013,196087368
Mercedes-Benz,E250,2010,195859592
Volkswagen,Passat,2018,195981750
Kia,Cerato,2021,196087445
Mercedes-Benz,C180,2018,196087476
Mercedes-Benz,CLA 200,2022,196083400
Hyundai,IX35,2015,196089621
Mercedes-Benz,C240,2003,195983881
Jeep,Grand Cherokee,2015,196090947
Chevrolet,N300,2022,195985462
Toyota,Yaris,2015,196092161
Seat,Ateca,2020,196091782
Geely,Emgrand X7,2020,196092370
Mercedes-Benz,C180,2016,196067316
Renault,Duster,2019,196093490
Nissan,Sunny,2020,196093563
Toyota,Corolla,2020,196094316
Nissan,Sunny,2019,196091972
Porsche,Panamera,2013,195960387
Mercedes-Benz,S500,2014,195857747
Nissan,Sunny,2017,196084964
Hyundai,Tucson,2020,196084054
Fiat,500X,2020,196100055
Mercedes-Benz,B200,2014,196008941
Toyota,Belta,2022,195766279
Peugeot,2008,2022,196086377
Mercedes-Benz,C180,2020,196080988
Mercedes-Benz,C180,2018,196070686
Toyota,Corolla,2021,195994212
Fiat,Tipo,2020,195965082
BMW,320,2017,195964398
Opel,Insignia,2016,196072398
Mitsubishi,Lancer,2005,196074777
Mitsubishi,Eclipse,2018,196071210
Hyundai,Elantra,2017,195770906
Mercedes-Benz,C180,2016,196072795
Renault,Logan,2018,196072722
Nissan,Sunny,2011,196073763
Toyota,Corolla,2008,196094541
Mitsubishi,Lancer,2007,196074194
Toyota,Corolla,2019,196074386
Chevrolet,Sonic,2012,196075346
Fiat,Tipo,2021,196075213
Mazda,Other,2000,196064771
Kia,Cerato,2021,196074314
Mercedes-Benz,A180,2021,196078712
Citroen,C5,2021,195759290
Daewoo,Lanos,2003,196070629
BMW,520,2019,195974481
Mercedes-Benz,CLA 200,2020,196080152
Hyundai,Bayon,2022,196070129
Toyota,Fortuner,2019,196058233
Renault,Kadjar,2021,196070200
BMW,525,2007,195971814
Land Rover,Range Rover Sport,2018,188295145
BMW,X6,2016,162763454
Suzuki,Van,2014,196059355
BMW,520,2019,188282583
Renault,Duster,2016,196061086
BMW,320,2018,196055346
Daihatsu,Gran Max,2014,196061101
BMW,328,2013,196054870
Opel,Insignia,2015,196079733
Skoda,Octavia,2007,196048295
Audi,A5,2018,195942886
Citroen,C5,2021,195943936
Nissan,X-Trail,2009,196051314
BYD,F3,2018,196050639
Chery,Tiggo,2021,196042452
Mercedes-Benz,C200,2019,196052900
Mercedes-Benz,C200,2008,196079687
Porsche,Cayenne,2019,196042720
Fiat,Tipo,2021,196076352
Suzuki,Van,2009,196051417
Mazda,3,2008,196052868
Honda,Jazz,2005,196052929
Seat,Arona,2019,196052391
Fiat,Bravo,2013,196052430
Mercedes-Benz,GLC 300,2019,196053001
Ford,Kuga,2018,196076453
Land Rover,Range Rover,2015,195970607
Chevrolet,Optra,2022,196052996
Porsche,Cayenne,2003,196051149
BMW,X5,2007,196048110
BMW,520,2019,196056385
BMW,X5,2020,196063129
Dodge,Ram,2011,196063914
Peugeot,508,2022,196049559
Seat,Ateca,2018,196057003
Toyota,Corolla,2012,196063623
Nissan,Sunny,2015,195951468
Skoda,Octavia,2018,196033255
Nissan,Qashqai,2019,196033834
MINI,Cooper,2019,194671825
BMW,X3,2016,196045597
Tesla,Model 3,2021,196032029
Opel,Insignia,2018,196034534
Hyundai,Santamo,2001,196033297
Chevrolet,Captiva,2021,196034778
Jac,S3,2019,195964926
Toyota,Corolla,2015,196032730
Mercedes-Benz,E200,2021,196035208
Hyundai,Accent,2015,196035410
Opel,Astra,2007,196035688
Nissan,Other,2014,196036079
MG,6,2022,196036538
Peugeot,3008,2019,195928357
Audi,A3,2023,195915342
Mercedes-Benz,E300,2021,195911801
Hyundai,Accent,2015,196043313
Lada,2110,2006,196028716
Mercedes-Benz,E200,2021,196044268
Mercedes-Benz,E200,2022,196039959
Fiat,Punto,2011,196018442
Peugeot,301,2015,196025838
Audi,Q8,2022,196044300
King Long,Van,2016,195961890
Kia,Sportage,2017,196035340
Nissan,Sunny,2018,195823262
Renault,Logan,2010,196005897
Fiat,Tipo,2021,196007770
Mercedes-Benz,C180,2008,195766415
Hyundai,Elantra,2021,195625252
Peugeot,301,2015,196010848
Hyundai,Verna,2015,196037734
Jaguar,F-type,2020,195900896
Chevrolet,Pickup/Dababa,2015,196011232
Peugeot,208,2023,195942446
Jeep,Grand Cherokee,2019,195502346
BMW,530,2019,196013012
Skoda,Octavia,2016,194488567
Fiat,Tipo,2021,196014359
BMW,525,2006,194325915
Nissan,Qashqai,2020,195984764
Renault,Kadjar,2018,196014589
BMW,316,2014,196017149
Skoda,Octavia,2010,196015461
Kia,Cerato,2010,196019161
Kia,Sportage,2018,192499135
Nissan,Sunny,2016,195919207
BMW,520,2019,196020082
Nissan,Tiida,2011,196000618
Fiat,Linea,2009,195990284
Audi,A3,2020,195986227
Other make,Other,2007,196009667
Nissan,Sunny,2019,195987041
Daewoo,Nubira,2005,195990358
Volkswagen,Golf,2017,195991081
Toyota,Avanza,2008,195990343
Renault,Megane,2021,195989097
Jeep,Grand Cherokee,2015,195990892
Seat,Ibiza,2022,195647460
Fiat,Tipo,2022,195994238
Kia,Cerato Coupe,2013,194349180
Jeep,Wrangler,2015,195994837
MG,6,2021,195995293
Mercedes-Benz,S450,2019,195995889
Hyundai,Tucson,2021,195996078
Volkswagen,Passat,2014,195997290
Chevrolet,Optra,2023,195997226
MG,MG 5,2022,195997627
Mercedes-Benz,GLC 300,2019,195993975
Hyundai,Verna,2015,195987677
Hyundai,Verna,2015,195999263
Nissan,Sunny,2019,195897675
Kia,Cerato,2017,196000757
Peugeot,508,2021,195898502
Suzuki,Pick up,2021,195996316
Mercedes-Benz,C180,2002,196001494
BMW,520,2001,195986330
Mitsubishi,Lancer,2016,196003874
BYD,F3,2021,195999813
Kia,Cerato,2017,196002156
Fiat,Tipo,2021,195741079
Nissan,Sentra,2018,195986209
Mercedes-Benz,C280,2009,195969037
Chery,Tiggo,2022,195969118
BMW,850,2020,195867811
Chevrolet,Camaro,2012,195970412
Chevrolet,Pickup/Dababa,2021,195971504
Fiat,Tipo,2021,195970929
Toyota,Corolla,2022,195972341
Audi,A3,2020,195975123
Chevrolet,Lanos,2010,195974431
Opel,Grandland,2018,195693055
Tesla,Model Y,2023,195977083
MG,MG 5,2021,195975101
Mercedes-Benz,C180,2009,195876673
Peugeot,2008,2020,195877662
Mitsubishi,Lancer,2016,195876115
Hyundai,Elantra,2010,195876331
Hyundai,Tucson,2019,195847363
Peugeot,508,2021,195948024
Ford,Edge,2011,195847284
Alfa Romeo,Giulietta,2020,195948958
Hyundai,Elantra,2015,195942403
Opel,Grandland,2021,195978586
Mercedes-Benz,C180,2009,195950864
Mercedes-Benz,C180,2015,195950208
MG,HS,2021,195977607
Chery,Tiggo,2021,195950915
Mercedes-Benz,CLA 180,2022,195953022
Mazda,3,2015,195956117
Skoda,Octavia,2015,195956543
Mercedes-Benz,E240,2002,195954503
Seat,Ateca,2018,194911230
Nissan,Sentra,2021,195957368
Renault,Megane,2021,195957100
Mercedes-Benz,Other,2010,195959182
Fiat,500,2018,195941379
Renault,Kadjar,2018,195941442
Tesla,Model 3,2023,195957539
Toyota,Rush,2020,195857862
Audi,A7,2016,195933484
Chevrolet,Optra,2021,195956087
Renault,Logan,2013,195919004
Volkswagen,Passat,2008,195923805
Fiat,500,2017,195927006
Mitsubishi,Lancer,2016,195710158
Proton,Preve,2019,195827486
Kia,Cerato,2015,195921176
Fiat,Tipo,2021,195950098
Hyundai,Matrix,2006,195928284
Subaru,XV,2021,195928454
Volkswagen,ID4,2008,195930163
Mercedes-Benz,E180,2019,195830585
BMW,520,2004,195941042
Toyota,Corolla,2018,195929459
Renault,Megane,2017,195831175
Speranza,A516,2008,195954351
MG,RX5,2019,195836392
Toyota,Corolla,2020,195899889
Skoda,Octavia,2006,195911964
Mitsubishi,Pajero,2014,195899977
Mercedes-Benz,E200,2022,195798040
BMW,X1,2020,195901358
Chrysler,Town and Country,2006,195900763
Mercedes-Benz,E180,2019,194234091
Jeep,Renegade,2014,195901929
Hyundai,Tucson,2021,195907310
Nissan,Qashqai,2020,195901538
Chevrolet,Aveo,2011,195900720
BMW,320,2011,195907635
Jaguar,F-Pace,2021,195907881
Seat,Ibiza,2019,193909145
Renault,Duster,2018,195909986
MG,RX5,2020,195909890
BMW,218,2021,195908898
Jeep,Liberty,2007,195901452
Nissan,Sunny,2019,195810461
Skoda,Kodiaq,2022,195808119
Mercedes-Benz,E200,2021,195910604
Skoda,Karoq,2022,195808721
Mercedes-Benz,E200,2022,195912300
GMC,Sierra,2016,195899011
Nissan,Sunny,2022,195913477
Kia,Cerato,2016,195897280
Mercedes-Benz,C180,2019,195913530
Chery,Tiggo,2019,195877283
Ford,Kuga,2018,195470474
Nissan,Juke,2014,194142575
Mercedes-Benz,GLC 250,2021,195878650
Fiat,Tipo,2021,195719484
Nissan,Sunny,2020,195878958
Dodge,Dart,2013,195845853
Changan,Alsvin,2021,195880158
Kia,Rio,2014,195880308
Nissan,Sunny,2019,195883830
Fiat,Tipo,2021,195783094
Volkswagen,Polo,2009,195810458
Kia,Carens,2015,195884225
Mercedes-Benz,E180,2016,195787807
Land Rover,LR3,2009,195889968
Toyota,Corolla,2020,195791985
Mercedes-Benz,S500,2015,195208199
Ford,Kuga,2017,188103962
Renault,Megane,2022,195890934
Volkswagen,Passat,2016,193486885
Opel,Astra,2015,195891904
Volkswagen,Passat,2014,195880694
Baic,X3,2022,195808705
MINI,Cooper,2019,195856888
Toyota,Corolla,2019,195857960
Mercedes-Benz,Other,2019,185657401
Jeep,Wrangler,2013,195856825
Opel,Crossland,2020,195856523
Toyota,Corolla,2007,192722794
Chevrolet,Cruze,2010,195858592
Skoda,Octavia,2008,195860880
Kia,Sportage,2016,195761711
Hyundai,Elantra,2020,195854384
Proton,Saga,2021,195861292
Mitsubishi,Lancer,2015,195862047
Kia,Ceed,2016,195763313
Hyundai,IX35,2011,195861504
Porsche,Cayenne,2009,195760518
Kia,Cerato,2015,195761272
Nissan,Sunny,2022,195862792
Daihatsu,Terios,2013,195844437
Skoda,Superb,2019,195862902
Audi,A4,2013,195843163
Fiat,500X,2016,195840665
Mercedes-Benz,E230,2008,195840744
Citroen,C-Elysée,2021,195699967
Kia,Cerato Coupe,2011,195830750
Jeep,Cherokee,2009,195649512
Chevrolet,Optra,2022,195733151
Kia,Picanto,2013,195832430
Nissan,Sunny,2021,195733230
Skoda,Octavia,2021,195832622
Volkswagen,Tiguan,2014,195837379
Subaru,Legacy,2004,195838564
Nissan,Sentra,2020,195802754
Renault,Fluence,2015,186226847
Citroen,DS3,2014,195839857
Alfa Romeo,Giulietta,2020,195842260
Audi,Q3,2022,195841536
Kia,Soul,2016,195840055
Citroen,C4,2020,195842715
Land Rover,Range Rover Sport,2019,195842620
Peugeot,508,2020,195842762
Brilliance,Galena,2007,195843539
Nissan,Qashqai,2017,195621529
MINI,Cooper,2015,195844856
Kia,Cerato Coupe,2013,195847489
Honda,Civic,2018,195847868
BMW,X5,2018,194386085
Kia,Cerato,2013,195848507
Mitsubishi,Lancer,2013,195830256
BMW,X6,2021,195848164
Mercedes-Benz,CLS,2020,195840194
Chevrolet,Optra,2017,195678345
Volkswagen,Passat,2008,195815439
Hyundai,Elantra,2019,195704217
BMW,316,2000,195849070
Nissan,Sunny,2015,195804099
Isuzu,D-Max,2016,195742392
BYD,F3,2019,195805425
Mitsubishi,Lancer,2016,195805043
Peugeot,508,2020,195804300
Kia,Cerato,2015,195705240
Skoda,Octavia,2014,195805664
Hyundai,Verna,2013,195805707
Suzuki,Alto,2019,195806061
Chevrolet,Optra,2021,195808616
Mitsubishi,Lancer,2013,195808562
Mercedes-Benz,C200,2022,195808395
Nissan,Sentra,2020,195810018
BMW,316,2014,195710922
Citroen,DS7,2021,195705823
Mercedes-Benz,C180,2022,195798259
BMW,X3,2016,195810899
MG,6,2020,195811167
BYD,F3,2021,195811320
Citroen,DS7,2022,195811175
MG,ZS,2020,195811115
Hyundai,Elantra,2012,195715392
Mercedes-Benz,E200,2013,191565886
GMC,Yukon,2003,195812905
Volkswagen,Jetta,2012,195814279
Lada,Granta,2016,195814276
Toyota,Corolla,2022,195680306
Mercedes-Benz,A200,2020,195707125
Mercedes-Benz,B180,2014,195765301
Dodge,Ram,2021,195701854
Mercedes-Benz,Other,2015,195434940
Mercedes-Benz,C200,2022,195630734
Land Rover,Range Rover Vogue,2014,195435184
Fiat,Tipo,2021,195767588
BMW,640,2014,195663734
Mercedes-Benz,A200,2020,195785590
Dodge,Ram,2021,195781534
Mercedes-Benz,GLS,2021,195130644
MG,MG 5,2022,195783860
Kia,Ceed,2016,195769614
Land Rover,Evoque,2017,195786457
BMW,523,2008,195787810
Nissan,Qashqai,2019,195786706
Nissan,Qashqai,2018,195572871
Ford,Focus,2022,195791454
Ford,Fusion,2017,195789515
Hyundai,Tucson,2021,195067224
Mercedes-Benz,A200,2022,195792213
Mercedes-Benz,C180,2018,195795136
Volkswagen,Passat,2021,195790479
Volkswagen,Jetta,2011,195763015
Toyota,Camry,2008,195695018
Mercedes-Benz,C200,2022,195796212
Mercedes-Benz,C200,2022,195535846
Hyundai,Santa Fe,2011,195796363
Toyota,Corolla,2017,195797488
MINI,Cooper,2017,195776128
Hyundai,Sonata,2012,195775763
Renault,Kadjar,2019,195676603
MG,ZS,2021,195776846
Kia,Cerato Coupe,2010,195762881
Chevrolet,Cruze,2014,195758937
Renault,Fluence,2015,195758521
Kia,Sportage,2018,195758971
Jeep,Grand Cherokee,2016,195759200
Nissan,Qashqai,2016,195759122
Dodge,Ram,2007,195754393
MG,ZS,2021,195617172
Hyundai,Accent,2015,195763565
Hyundai,Elantra,2021,195741813
Chevrolet,Pickup/Dababa,2006,195765244
BMW,X5,2018,195765555
Seat,Leon,2022,195651264
MINI,Cooper,2019,195766275
Opel,Astra,2015,195655843
Chevrolet,N300,2015,195758241
Chevrolet,Optra,2023,195767591
Hyundai,Tucson,2019,195766958
Toyota,Corolla,2020,195683148
Volkswagen,Passat,2013,195766818
Hyundai,Elantra,2016,195767834
Opel,Astra,2016,195668135
Opel,Astra,2020,195668321
Nissan,Sunny,2021,195772094
Toyota,Land Cruiser,2021,195770902
Fiat,Tipo,2022,195770042
Suzuki,S-Presso,2008,195762289
Jeep,Commander,2007,195769266
Chevrolet,Cruze,2013,195744376
Mercedes-Benz,C180,2010,195772781
Fiat,Shahin,2004,195712430
Mercedes-Benz,A200,2018,195733070
BMW,528,2000,195733047
Chevrolet,Sonic,2012,195624764
Jeep,Wrangler,2017,195734558
MG,6,2020,195734940
Daewoo,Nubira,2001,195635686
Opel,Grandland,2018,195610702
Land Rover,Range Rover Sport,2021,195635897
Opel,Astra,2021,195719276
Hyundai,Elantra,2009,195735948
Toyota,Fortuner,2017,195737566
Chevrolet,Optra,2020,195738744
Peugeot,508,2022,195639248
Toyota,Corolla,2019,195738585
Daewoo,Nubira,2000,195736729
Mercedes-Benz,C280,2009,195641204
Honda,Civic,2009,195739294
Suzuki,Pick up,2012,195737673
Mercedes-Benz,C180,2016,195743486
Peugeot,2008,2016,195744589
Toyota,Corolla,2020,195742113
Volkswagen,Passat,2009,195739101
Seat,Leon,2020,195743608
BMW,X3,2019,195646127
BMW,320,2010,195744667
Kia,Carens,2013,195742031
Peugeot,508,2022,195744879
Volkswagen,Passat,2022,195747410
Hyundai,Elantra,2020,195745655
BMW,320,2018,186036095
BYD,F3,2014,195729679
Mercedes-Benz,C200,2020,195730009
BMW,X7,2020,195730040
Hyundai,Verna,2017,195631202
Suzuki,Maruti,2001,195726480
Mitsubishi,Lancer,2017,195573150
Kia,Cerato,2022,195652517
Mercedes-Benz,E250,2012,195767023
Toyota,Belta,2022,195750718
Mercedes-Benz,E200,2019,195720698
Nissan,Sunny,2020,195749480
Nissan,Sunny,2020,195749011
Nissan,Sunny,2017,195732125
Kia,Cerato,2012,195766156
Citroen,C5,2020,195750479
Seat,Ibiza,2015,195751026
Land Rover,Range Rover Sport,2020,195753338
Kia,Rio,2013,195752695
Audi,A4,2007,195751663
BMW,418,2016,195755889
MINI,Countryman,2018,195772941
Toyota,Rush,2022,195775656
Jeep,Wrangler,2011,195775956
BMW,X3,2011,195778268
BMW,320,2020,195775879
Mitsubishi,Eclipse,2020,195778380
MG,HS,2021,195810640
Ford,Focus,2015,195798678
Jeep,Cherokee,2019,195797876
Mercedes-Benz,CLA 200,2022,195798205
Mercedes-Benz,C180,2018,195759257
Kia,Sportage,2017,195777957
BMW,X3,2012,195778459
Renault,Logan,2017,195668253
BMW,318,2018,195798812
BYD,F3,2020,195798230
Fiat,Tipo,2018,195798722
Chery,Tiggo,2021,195799395
Renault,Logan,2019,195799758
BYD,F3,2018,195816987
Skoda,Superb,2020,195822974
Mazda,3,2015,195816200
Geely,Other,2022,195818449
Toyota,Corolla,2022,194868180
Hyundai,Avante,2012,195810718
Mercedes-Benz,C180,2016,195712583
BMW,520,2019,195762795
Mercedes-Benz,G-Class,2019,195823159
Nissan,Sunny,2021,195822577
Toyota,Corolla,2020,195849893
Toyota,Corolla,2014,195821010
Chevrolet,Cruze,2009,195820334
BMW,318,2004,195851248
Peugeot,508,2013,195850639
Mitsubishi,Lancer,2015,195854413
Seat,Ibiza,2022,195755805
Chevrolet,Optra,2013,194869089
Fiat,Tipo,2021,195864187
Mercedes-Benz,E300,2018,195758193
Chery,Arrizo 5,2020,195765616
BMW,X1,2018,195863512
Suzuki,Pick up,2016,195864780
Nissan,Sunny,2013,195865319
Jetour,X95,2022,194043947
MINI,Clubman,2018,195852391
Suzuki,Van,2018,195864906
Hyundai,Elantra,2019,195768418
Hyundai,Elantra,2021,195870210
Mercedes-Benz,G-Class,2020,195869160
Toyota,Corolla,2022,195870833
MG,MG 5,2022,195872926
Jac,S3,2022,195844650
MG,6,2022,195872335
MINI,Cooper,2018,195875147
Mercedes-Benz,B200,2013,195874590
Fiat,500X,2020,195875752
Skoda,Octavia,2021,195892802
Opel,Astra,2020,195892579
BMW,528,2013,195892803
MINI,Cooper,2011,195877889
Kia,Sorento,2020,195750028
Mercedes-Benz,B150,2006,195891767
Suzuki,Vitara,2021,195895497
Hyundai,Tucson,2022,195896285
Lada,Granta,2019,195886229
Chevrolet,Optra,2023,195796654
Daewoo,Nubira,2000,195903043
Toyota,Corolla,2013,195865975
Other make,Landwind,2007,195897541
Mercedes-Benz,A200,2019,195897195
BYD,F3,2022,195768654
Chery,Tiggo,2021,195767449
Nissan,X-Trail,2012,195898377
Nissan,Tiida,2011,195899036
Renault,Kadjar,2019,195778466
Mercedes-Benz,E200,2021,195896890
Land Rover,Range Rover Sport,2021,195646715
Mercedes-Benz,C180,2015,195899310
Hyundai,Accent,2015,195899764
Volkswagen,Passat,2015,195913449
Nissan,Sunny,2009,195810386
Peugeot,5008,2015,195733057
Hyundai,Elantra,2007,195915300
Nissan,Qashqai,2016,195917248
Hyundai,Verna,2018,195915032
Hyundai,Elantra,2019,195919047
Speranza,Tiggo,2012,195917017
Toyota,Yaris,2015,195891260
BMW,X5,2019,193207685
Subaru,XV,2016,195918616
Hyundai,Elantra,2019,195920181
Dodge,Ram,2009,195920442
